model_name,hash,training_time_sec,training_epochs,loss,val_loss,rel_val_error,rel_test_err,val_mse,val_mae,val_r2
PaperModelFEA,d2474f,77.0400,213,178.1159,168.5142,0.1218,0.1408,168.5142,9.0648,0.9944
CNN1D,8f60ce,11.1684,89,223.1833,526.6927,0.2917,0.4984,448.1843,17.2634,0.9809
CNN1D,97d246,10.6807,84,238.2490,458.5774,0.3132,0.5542,442.5396,15.7205,0.9807
CNN1D,2fb04d,17.3052,164,141.7132,322.8747,0.2188,0.3495,302.0463,12.1093,0.9871
CNN1D,080c54,19.8757,194,123.0643,426.0064,0.2388,0.4085,299.4595,12.2068,0.9878
CNN1D,bc6234,37.2629,400,100.8922,329.7406,0.1903,0.1966,329.7406,13.8188,0.9870
CNN1D,8a2889,36.8302,400,95.9719,171.8564,0.1434,0.2558,171.8564,9.8141,0.9928
PaperModelFEA,0ec48e,127.6044,354,254.9604,255.0194,0.3728,0.3224,255.0194,11.1790,0.9916
PaperModelFEA,534336,78.3746,217,121.3471,124.6690,0.2242,0.2071,124.6690,7.9452,0.9959
PaperModelFEA,708910,50.6130,140,384.1216,348.6508,0.3406,0.2990,348.6507,12.4492,0.9885
DeeperPaperModel,924ff7,50.5087,103,191.9238,166.4976,0.1516,0.1811,166.4976,9.3182,0.9945
LSTM_Model,324779,65.9019,122,6961.6611,1472.2645,0.1936,0.5722,802.3589,17.9489,0.9540
LSTM_Model,b0fd27,31.4397,54,10391.3652,8424.8428,1.5933,3.1070,6658.5933,68.6937,0.7373
GRU_Model,466608,38.8180,74,9005.9150,6682.1118,0.4046,0.5472,1680.4463,33.2630,0.9219
GRU_Model,933101,75.8338,151,3617.8484,2361.3787,0.3458,1.2281,848.2253,20.7776,0.9587
GRU_Model,878b3b,153.5325,300,1493.9731,642.8768,0.2216,0.6977,642.8769,18.4192,0.9732
DeeperPaperModel,fc78c7,11.8642,24,2207.8062,2567.5554,0.5472,0.5737,2567.5552,31.3945,0.9153
DeeperPaperModel,0806c0,5.8801,12,2052.6980,2421.3225,0.5472,0.5737,2567.5552,31.3945,0.9153
DeeperPaperModel,be7d7d,38.9317,79,134.6405,156.6621,0.5472,0.5737,2567.5552,31.3945,0.9153
DeeperPaperModel,b082cf,6.6367,13,162.7368,313.6167,0.5472,0.5737,2567.5552,31.3945,0.9153
DeeperPaperModel,fdf5b7,24.4122,51,135.1307,298.4563,0.5472,0.5737,2567.5552,31.3945,0.9153
DeeperPaperModel,e93b4b,106.1539,231,65.3209,135.9202,0.1180,0.1608,135.9201,6.2239,0.9955
DeeperPaperModel,0a430b,21.4457,42,68.9654,146.8708,0.1180,0.1608,135.9201,6.2239,0.9955
DeeperPaperModel,37d20d,28.7678,56,74.6303,161.8767,0.1180,0.1608,135.9201,6.2239,0.9955
DeeperPaperModel,e956c5,16.5974,32,92.1191,79.8509,0.1180,0.1608,135.9201,6.2239,0.9955
DeeperPaperModel,e7f23b,23.7143,46,78.0552,96.5671,0.1180,0.1608,135.9201,6.2239,0.9955
